"thema","query","query_mod"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","Politik","politik"
"- offen - ","Wie entscheide ich wer ich wählen aoll","wie entscheide ich wer ich wählen aoll"
"- offen - ","Partei Ziele Wahlkampf","partei ziele wahlkampf"
"- offen - ","Wahlprogramm Grüne, rezo Zerstörung CDU","wahlprogramm grüne, rezo zerstörung cdu"
"- offen - ","Wahl-O-Mat, Parteiprogramm","wahl-o-mat, parteiprogramm"
"- offen - ","Anna Lena Braebock","anna lena braebock"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Olaf Scholz Afghanistan","olaf scholz afghanistan"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Scholz Arbeitsmarkt","scholz arbeitsmarkt"
"- offen - ","gibt es mehr grundsicherung","gibt es mehr grundsicherung"
"- offen - ","Parteien und ihre Themen zur Bundestagswahl 2021","parteien und ihre themen zur"
"- offen - ","Thema, Partei, Kandidaten","thema, partei, kandidaten"
"- offen - ","Bildung partei","bildung partei"
"- offen - ","Facebookseiten der SPD","facebookseiten der spd"
"- offen - ","Wahlprogramme zum Klimawandel","wahlprogramme zum klimawandel"
"- offen - ","bedinungsloses Grundeinkommen","bedinungsloses grundeinkommen"
"- offen - ","Wahlprogramm der einzelnen Parteien","wahlprogramm der einzelnen parteien"
"- offen - ","Parteiprogramme,Wahlprogramme","parteiprogramme,wahlprogramme"
"- offen - ","Standpunkt im Parteiprogramm","standpunkt im parteiprogramm"
"- offen - ","Kandidaten","kandidaten"
"- offen - ","wahlomat","wahlomat"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Was möchten die Patein umsetzen","was möchten die patein umsetzen"
"- offen - ","sozialer Frieden, Gesundheit (z.B. Pandemiebekämpfung), Klima","sozialer frieden, gesundheit (z.b. pandemiebekämpfung), klima"
"- offen - ","Starker Sozialstaat","starker sozialstaat"
"- offen - ","Themenschwerpunkte der Partei","themenschwerpunkte der partei"
"- offen - ","Wahlprogramme Bundestagswahl","wahlprogramme"
"- offen - ","Wahlthemen","wahlthemen"
"- offen - ","Wahl-o-mat, CDU, FDP, die Basis, AfD, SPD, Linke, Parteiprogramme Vergleich, Direktkandidaten in ""Stadt""","wahl-o-mat, cdu, fdp, die basis, afd, spd, linke, parteiprogramme vergleich, direktkandidaten in ""stadt"""
"- offen - ","Wahlprogramm, Aussagen von Parteimitgliedern","wahlprogramm, aussagen von parteimitgliedern"
"- offen - ","CV","cv"
"- offen - ","parteiprogramme bundestagswahl","parteiprogramme"
"- offen - ","Olaf Scholz","olaf scholz"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Wahlprogramme,","wahlprogramme,"
"- offen - ","Wahlprogramm, Stellungnahmen","wahlprogramm, stellungnahmen"
"- offen - ","Migrationspolitik CDU","migrationspolitik cdu"
"- offen - ","Parteiprogramm","parteiprogramm"
"- offen - ","Wahl-o-mat, danach guck ich mir die Wahlprogramme näher an","wahl-o-mat, danach guck ich mir die wahlprogramme näher an"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Bundestag. Bundesregierung. Bundestagswahl","bundestag. bundesregierung."
"- offen - ","Wahl-o-mat, Die PARTEI, Martin Sonneborn","wahl-o-mat, die partei, martin sonneborn"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Inflation, stabile Renten,","inflation, stabile renten,"
"- offen - ","Rente","rente"
"- offen - ","wahlprogramme","wahlprogramme"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","wahlomat","wahlomat"
"- offen - ","Rente","rente"
"- offen - ","Ich brauch das nicht. Ich bleibe der CDU treu, trotz Armin Laschet. Das ist kein Politiker, das ist ein Clown","ich brauch das nicht. ich bleibe der cdu treu, trotz armin laschet. das ist kein politiker, das ist ein clown"
"- offen - ","Wahlprogramm, Partei XY,","wahlprogramm, partei xy,"
"- offen - ","Walomat","walomat"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Wahl-o-mat","wahl-o-mat"
"- offen - ","Parteiinhalte Vergleich Bundestagswahl 2021; Wahlomat Bundestagswahl 2021","parteiinhalte vergleich ; wahlomat"
"- offen - ","Wahl-o-mat","wahl-o-mat"
"- offen - ","Rente, Umwelt, Bildung","rente, umwelt, bildung"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","Lebenslauf Claudia Roth","lebenslauf claudia roth"
"- offen - ","Kandidaten","kandidaten"
"- offen - ","immer gucken und was mache ich welche auswahl","immer gucken und was mache ich welche auswahl"
"- offen - ","SPD Wahlthemen","spd wahlthemen"
"- offen - ","Klimawandel -Ziele, Rentenversicherung sicher","klimawandel -ziele, rentenversicherung sicher"
"- offen - ","Parteiprogramme von xy Parteien","parteiprogramme von xy parteien"
"- offen - ","Klimawandel","klimawandel"
"- offen - ","CDU Wahlprogramm","cdu wahlprogramm"
"- offen - ","Wahl o mat","wahl o mat"
"- offen - ","Über das Geschehen in Deutschland und aus aller Welt","über das geschehen in deutschland und aus aller welt"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","eine partei für das volk","eine partei für das volk"
"- offen - ","welche Partei passt zu mir","welche partei passt zu mir"
"- offen - ","welche partei ist die beste","welche partei ist die beste"
"- offen - ","Statistik der Ranglisten beliebtheit der Politiker","statistik der ranglisten beliebtheit der politiker"
"- offen - ","Wahlprogramm von Partei XYZ.","wahlprogramm von partei xyz."
"- offen - ","Ich suche nach dem Parteiprogramm der Partei die eventuell wähle .","ich suche nach dem parteiprogramm der partei die eventuell wähle ."
"- offen - ","Bundestagswahl Parteien wahlprogramm","parteien wahlprogramm"
"- offen - ","WahlOMat","wahlomat"
"- offen - ","klimakrise vergleich parteiprogramme","klimakrise vergleich parteiprogramme"
"- offen - ","rlp PK polizei flut","rlp pk polizei flut"
"- offen - ","Tierschutz Wahlprogramm","tierschutz wahlprogramm"
"- offen - ","wahlprogramm","wahlprogramm"
"- offen - ","Die Grünen","die grünen"
"- offen - ","Programme der einzelnen Parteien (Kurzfassungen), Steckbriefe einzelner Kandidat(inn)en, Zusammenfassung einzelner Debatten und öffentlichkeitsrelevanter Diskussionen","programme der einzelnen parteien (kurzfassungen), steckbriefe einzelner kandidat(inn)en, zusammenfassung einzelner debatten und öffentlichkeitsrelevanter diskussionen"
"- offen - ","Wahl o mat","wahl o mat"
"- offen - ","allgemeine medizinische fragen","allgemeine medizinische fragen"
"- offen - ","Politik","politik"
"- offen - ","Wahlomat, btw21, Umfrageergebnisse,","wahlomat, btw21, umfrageergebnisse,"
"- offen - ","Wahlthemen","wahlthemen"
"- offen - ","vorhersage grüne","vorhersage grüne"
"- offen - ","Wahlprogramm 2021","wahlprogramm 2021"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","Partei + Thema + Position/Programm (z.B. CDU Klimawandel Position, SPD Steuersenkung Position)","partei + thema + position/programm (z.b. cdu klimawandel position, spd steuersenkung position)"
"- offen - ","Versprechen der Parteien","versprechen der parteien"
"- offen - ","Wahl-o-mat","wahl-o-mat"
"- offen - ","- Parteiprogramm der XXX zum Klimaschutz, zum Tierschutz, zur Bildung oder zur Gesundheit","- parteiprogramm der xxx zum klimaschutz, zum tierschutz, zur bildung oder zur gesundheit"
"- offen - ","WahlOMat","wahlomat"
"- offen - ","Wahl-o-mat","wahl-o-mat"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","wahlomat","wahlomat"
"- offen - ","Olaf Scholz, Steuerpolitik.","olaf scholz, steuerpolitik."
"- offen - ","wirtschaftspolitische Ausrichtung Partei 2021","wirtschaftspolitische ausrichtung partei 2021"
