"thema","query","query_mod"
"- offen - ","Wer seine Stimme abgibt, hat danach nichts mehr zu sagen.","wer seine stimme abgibt, hat danach nichts mehr zu sagen."
"- offen - ","Politik aktuell","politik aktuell"
"- offen - ","Wahlprogramm, Wahlomat, SPD, Die Linke, Die Grünen etc.","wahlprogramm, wahlomat, spd, die linke, die grünen etc."
"- offen - ","Wahlen 21","wahlen 21"
"- offen - ","Kinder alltag","kinder alltag"
"- offen - ","Kanditatin Baerbock","kanditatin baerbock"
"- offen - ","Wahlprogramm Partei XY","wahlprogramm partei xy"
"- offen - ","Wahlprogramm CDU","wahlprogramm cdu"
"- offen - ","Wahl-omat, Partei Programm, Olaf Schols, aktuelles","wahl-omat, partei programm, olaf schols, aktuelles"
"- offen - ","Informationen zu Partei","informationen zu partei"
"- offen - ","1.) Parteiprogram 2.) Führungskräfte Lebenslauf","1.) parteiprogram 2.) führungskräfte lebenslauf"
"- offen - ","Wahl-O-Mat","wahl-o-mat"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","verschiedenes","verschiedenes"
"- offen - ","Wahl o mat","wahl o mat"
"- offen - ","Parteiprogramm","parteiprogramm"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","wahlprogramm von x partei","wahlprogramm von x partei"
"- offen - ","Klimawandel cdu","klimawandel cdu"
"- offen - ","Wahl O Mat","wahl o mat"
"- offen - ","Partei Wahl Bildung","partei wahl bildung"
"- offen - ","CO 2 Steuer","co 2 steuer"
"- offen - ","Wahl O Mat","wahl o mat"
"- offen - ","Zu diesem Thema suche ich nicht","zu diesem thema suche ich nicht"
"- offen - ","bürgerpartei","bürgerpartei"
"- offen - ","klima","klima"
"- offen - ","Wahlumfrage","wahlumfrage"
"- offen - ","Klimapolitik","klimapolitik"
"- offen - ","Parteiname Parteiprogramm Zusammenfassung","parteiname parteiprogramm zusammenfassung"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Wahlen 2021","wahlen 2021"
"- offen - ","Wahlomat Parteiprogramm Kandidat der Grünen im Landkreis","wahlomat parteiprogramm kandidat der grünen im landkreis"
"- offen - ","Kandidaten Bundestagswahl Wahlprogramm auf einen Blick wahlomat Bundestagswahl 2021","kandidaten  wahlprogramm auf einen blick wahlomat"
"- offen - ","Lebenslauf","lebenslauf"
"- offen - ","Walomat","walomat"
"- offen - ","Wahlomat Parteien Bundestagswahl","wahlomat parteien"
"- offen - ","Kosten für die transformation in der umwelt Politik","kosten für die transformation in der umwelt politik"
"- offen - ","Wahl-o-mat","wahl-o-mat"
"- offen - ","wahlprogramme der parteien","wahlprogramme der parteien"
"- offen - ","Keine Erhöhung sprit und steuern","keine erhöhung sprit und steuern"
"- offen - ","Partei/Thema","partei/thema"
"- offen - ","pflegversicherung + wahlprogrmm","pflegversicherung + wahlprogrmm"
"- offen - ","Wahl o mat","wahl o mat"
"- offen - ","Islam Kriminaität Moslems","islam kriminaität moslems"
"- offen - ","Wahleinschätzunge","wahleinschätzunge"
"- offen - ","Steuern für Rentner","steuern für rentner"
"- offen - ","Standpunkte Parteien","standpunkte parteien"
"- offen - ","Kandidaten","kandidaten"
"- offen - ","FDP Kanidaten","fdp kanidaten"
"- offen - ","Laschet Klimapolitik Polizeigewalt Inkompetenz; Scholz Wirecard Polizeigewalt; Baerbock; Wahlprogramm CDU; Wahlprogramm Grüne; Klimaliste; Piraten; Linke DDR Diktatur; CDU Zusammenarbeit AfD III. Weg","laschet klimapolitik polizeigewalt inkompetenz; scholz wirecard polizeigewalt; baerbock; wahlprogramm cdu; wahlprogramm grüne; klimaliste; piraten; linke ddr diktatur; cdu zusammenarbeit afd iii. weg"
"- offen - ","wahl.-o-mat","wahl.-o-mat"
"- offen - ","Scholz Finanzskandal // Wahlomat","scholz finanzskandal // wahlomat"
"- offen - ","Wahlberechtigte mit Migrationshintergrund nicht zulassen und mit doppelter Staatsbürgerschaft gleich gar nicht!","wahlberechtigte mit migrationshintergrund nicht zulassen und mit doppelter staatsbürgerschaft gleich gar nicht!"
"- offen - ","Wahlprogramm Linke","wahlprogramm linke"
"- offen - ","wahl o mat","wahl o mat"
"- offen - ","Wahlprogramm Linke, Wahlprogramm Grüne, Wahlprogramm SPD, Wahlprogramm AfD, Wahlprogramm CDU, Wahlprogramm FDP, Wahlprogramm Basis ... etc.","wahlprogramm linke, wahlprogramm grüne, wahlprogramm spd, wahlprogramm afd, wahlprogramm cdu, wahlprogramm fdp, wahlprogramm basis ... etc."
"- offen - ","Wahlomad","wahlomad"
"- offen - ","wahlomat 2021","wahlomat 2021"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Wahlprogramm SPD","wahlprogramm spd"
"- offen - ","Wahlprogramme","wahlprogramme"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Entscheidungshilfe Bundestagswahl","entscheidungshilfe"
"- offen - ","Parteiprogramm Partei xy","parteiprogramm partei xy"
"- offen - ","Bundestagswahl parteien übersicht","parteien übersicht"
"- offen - ","CDU Bundeskanzler / Themen / Klima","cdu bundeskanzler / themen / klima"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","Bildung","bildung"
"- offen - ","Klimapolitik","klimapolitik"
"- offen - ","Rentenreform","rentenreform"
"- offen - ","Wahl o mat","wahl o mat"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","Parteiprogramm, Parteiname, 2021","parteiprogramm, parteiname, 2021"
"- offen - ","Kandidat","kandidat"
"- offen - ","Wen kann man noch wählen","wen kann man noch wählen"
"- offen - ","Wahl-o-mat, Parteiprogramme Bundestagswahl 2021 Vergleich, interview spitzenkanditaten Bundestagswahl 2021","wahl-o-mat, parteiprogramme  vergleich, interview spitzenkanditaten"
"- offen - ","Parteiprogramm","parteiprogramm"
"- offen - ","Wahlprogramm der Parteien, Schwerpunkte der einzelnen Parteien, Familienpolitik,","wahlprogramm der parteien, schwerpunkte der einzelnen parteien, familienpolitik,"
"- offen - ","Wahlprogramm parteien","wahlprogramm parteien"
"- offen - ","[Name der Partei] Wahlprogramm Kurzfassung","[name der partei] wahlprogramm kurzfassung"
"- offen - ","Wahl-o-mat","wahl-o-mat"
"- offen - ","Fällt mir spontan nichts ein","fällt mir spontan nichts ein"
"- offen - ","welche partei steht für soziales","welche partei steht für soziales"
"- offen - ","Verbrechen der Politik","verbrechen der politik"
"- offen - ","suche nichts","suche nichts"
"- offen - ","Politik Wahlprogramm der Parteien","politik wahlprogramm der parteien"
"- offen - ","Soziale Gerechtigkeit","soziale gerechtigkeit"
"- offen - ","soziale themen","soziale themen"
"- offen - ","Wahlprogramm die Grünen","wahlprogramm die grünen"
"- offen - ","Wahl-o-mat","wahl-o-mat"
"- offen - ","Unterschiedlich","unterschiedlich"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","wahlentscheidungshilfe","wahlentscheidungshilfe"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","Parteiprogramm","parteiprogramm"
"- offen - ","Wahl-o-mat","wahl-o-mat"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Name, Thema","name, thema"
"- offen - ","Wahlprogramme 2021","wahlprogramme 2021"
"- offen - ","Warum ist dis Schwester des Vorstandsvorsitzenden von Biontech bei der Partei die Basis","warum ist dis schwester des vorstandsvorsitzenden von biontech bei der partei die basis"
"- offen - ","wahl-o-mat","wahl-o-mat"
"- offen - ","Klimaschutz","klimaschutz"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","wahlprogramm","wahlprogramm"
"- offen - ","Adressen Telefonnummern Öffnungen","adressen telefonnummern öffnungen"
"- offen - ","Wahl O Mat","wahl o mat"
"- offen - ","Wahl-O-Mat","wahl-o-mat"
"- offen - ","Kochrezepte , Hunde in not , rentenbesteuerung","kochrezepte , hunde in not , rentenbesteuerung"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","Abgeordnetenwatch Abstimmung Afghanistan","abgeordnetenwatch abstimmung afghanistan"
"- offen - ","Wahl-o-mat; Wahlprogramm","wahl-o-mat; wahlprogramm"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","Wahlprogramm ""Partei XXX""","wahlprogramm ""partei xxx"""
"- offen - ","Das Vorhaben der Parteien","das vorhaben der parteien"
"- offen - ","Wahlprogramm aller Parteien","wahlprogramm aller parteien"
"- offen - ","Wahlprogramm SPD","wahlprogramm spd"
"- offen - ","umwelt","umwelt"
"- offen - ","Wahl","wahl"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Menschlichkeit","menschlichkeit"
"- offen - ","Walomat","walomat"
"- offen - ","Spitzenpolitiker, Parteien, CDU, SPD, FDP, Grüne, Linke, Wahlprogramm","spitzenpolitiker, parteien, cdu, spd, fdp, grüne, linke, wahlprogramm"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","Klimaschutz","klimaschutz"
"- offen - ","Tierschutz","tierschutz"
"- offen - ","Wahlprogramme 2021","wahlprogramme 2021"
"- offen - ","Grundrechte","grundrechte"
"- offen - ","olaf scholz","olaf scholz"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Was ist für Deutschland besser","was ist für deutschland besser"
"- offen - ","wahlprogramme 2021","wahlprogramme 2021"
"- offen - ","Wahlomst","wahlomst"
"- offen - ","Wahlkampf","wahlkampf"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Wahl o mat","wahl o mat"
"- offen - ","parteiprogramme bundestagswahl 2021","parteiprogramme"
"- offen - ","wahl o mat","wahl o mat"
"- offen - ","aufgabe der Demokratie","aufgabe der demokratie"
"- offen - ","Linke","linke"
"- offen - ","wahlomat, Wahlprogramm, Wahl 2021","wahlomat, wahlprogramm,"
"- offen - ","Wahlprogramm Partei xy, Wahlomat,","wahlprogramm partei xy, wahlomat,"
"- offen - ","Dinge im Alltag","dinge im alltag"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Wahlimat","wahlimat"
"- offen - ","Wahlprogramm Parteien Bundestagswahl 2021","wahlprogramm parteien"
"- offen - ","Olaf scholz und Co Steuer","olaf scholz und co steuer"
"- offen - ","Wahl-o-mat","wahl-o-mat"
"- offen - ","wahl 2021.themen eine partei",".themen eine partei"
"- offen - ","Wahl-O-Mat","wahl-o-mat"
"- offen - ","Parteiprogramm der Parteien für die Wahl 2021","parteiprogramm der parteien für die"
"- offen - ","Pandemie Ende","pandemie ende"
"- offen - ","Wahlprogramme","wahlprogramme"
"- offen - ","Größe des Bundestages","größe des bundestages"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","welche Partei bietet was im Wahlprogramm","welche partei bietet was im wahlprogramm"
"- offen - ","Programm einer Partei","programm einer partei"
"- offen - ","Leneslauf eines Kandidaten","leneslauf eines kandidaten"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","Positionen der Parteien","positionen der parteien"
"- offen - ","wahl-o-mat - Parteiname","wahl-o-mat - parteiname"
"- offen - ","pateiprogramm","pateiprogramm"
"- offen - ","wahl-o-mat","wahl-o-mat"
"- offen - ","Anzahl Krimineller unter Migranten","anzahl krimineller unter migranten"
"- offen - ","WahlOMat","wahlomat"
"- offen - ","Ich würde nach Wahl-O-Mat suchen","ich würde nach wahl-o-mat suchen"
"- offen - ","Welche Partei möchte den Mindestlohn auf 12€ setzen?","welche partei möchte den mindestlohn auf 12€ setzen?"
"- offen - ","Programm Bundestagswahl ssteuer","programm  ssteuer"
"- offen - ","klima wahlprogramm","klima wahlprogramm"
"- offen - ","Ausländer Kriminalität,Rente,Sozialleistung.","ausländer kriminalität,rente,sozialleistung."
"- offen - ","Politik","politik"
"- offen - ","Wahlomat, Wahlprogramm","wahlomat, wahlprogramm"
"- offen - ","Wahlprogramme","wahlprogramme"
"- offen - ","Kanidatenname , Partei oder wahlprogramm","kanidatenname , partei oder wahlprogramm"
"- offen - ","Armin Laschet","armin laschet"
"- offen - ","Themen über die Nato, WHO, die neue Weltordnung mit Themen aus Davos, welche Politikdarsteller schon einmal bei den Bilderberger Treffen zu Gast war, über den faschistischen bzw politischen Islam,","themen über die nato, who, die neue weltordnung mit themen aus davos, welche politikdarsteller schon einmal bei den bilderberger treffen zu gast war, über den faschistischen bzw politischen islam,"
"- offen - ","Innere und äußere Sicherheit, NATO, Wirtschaftspolitik, Schutz des Eigentums","innere und äußere sicherheit, nato, wirtschaftspolitik, schutz des eigentums"
"- offen - ","die Grünen","die grünen"
"- offen - ","Wahlprogramm der SPD","wahlprogramm der spd"
"- offen - ","Parteiprogramm","parteiprogramm"
"- offen - ","Wahlomat, Google","wahlomat, google"
"- offen - ","wahlhilfe oder wahlentscheidungsfinder oder wahlprogramme 2021","wahlhilfe oder wahlentscheidungsfinder oder wahlprogramme 2021"
"- offen - ","prozentuale beliebtheit der kanzlerkandidaten","prozentuale beliebtheit der kanzlerkandidaten"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","verstehe die frage nicht","verstehe die frage nicht"
"- offen - ","Wahlprogramm [der Partei]","wahlprogramm [der partei]"
"- offen - ","wahlprogramm","wahlprogramm"
"- offen - ","SPD-Parteiprogramm","spd-parteiprogramm"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Wahl o mat","wahl o mat"
"- offen - ","Sdp","sdp"
"- offen - ","Olaf Scholz info","olaf scholz info"
"- offen - ","FDP","fdp"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Söder","söder"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Wahlprogramm + Name der Partei","wahlprogramm + name der partei"
"- offen - ","CDU","cdu"
"- offen - ","Wahl-O-Mat","wahl-o-mat"
"- offen - ","wahl-o-mat, wahlprogramm","wahl-o-mat, wahlprogramm"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","spd","spd"
"- offen - ","Wie steht FDP zu verbesserung der Wirtschaftslage in Deutschland","wie steht fdp zu verbesserung der wirtschaftslage in deutschland"
"- offen - ","Wahlstrategie","wahlstrategie"
"- offen - ","Steuererleichterungen welche Partei","steuererleichterungen welche partei"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","wahl-o-mat","wahl-o-mat"
"- offen - ","zuerst die Partei und dann das Thema","zuerst die partei und dann das thema"
"- offen - ","Wahl-o-mat","wahl-o-mat"
"- offen - ","nzz bundestagswahl bzw. mdr parteien bundestagswahl bzw. wikipedia bundestagswahl 2021 bzw. economist german election","nzz  bzw. mdr parteien  bzw. wikipedia  bzw. economist german election"
"- offen - ","Parteiprogramm Wahlprogramm","parteiprogramm wahlprogramm"
"- offen - ","wahlen","wahlen"
"- offen - ","Wahl o mat, Wahlprogramm,","wahl o mat, wahlprogramm,"
"- offen - ","wahl o mat","wahl o mat"
"- offen - ","was wählen","was wählen"
"- offen - ","Politik","politik"
"- offen - ","Wahlkampagne","wahlkampagne"
"- offen - ","Programmen der Kandidaten","programmen der kandidaten"
"- offen - ","Thema Klimawandel","thema klimawandel"
"- offen - ","Programmpunkte Bundestagswahl 2021","programmpunkte"
"- offen - ","Internetseite einer Partei, eines Ministeriums oder eine N.R.O., Name eines Politikers","internetseite einer partei, eines ministeriums oder eine n.r.o., name eines politikers"
"- offen - ","Wahlprogramm 2021, Partei Wahl 2021","wahlprogramm 2021, partei"
"- offen - ","Bundestagswahl 2021 - Pensions- und Einwanderungsprogramme der Partei.","- pensions- und einwanderungsprogramme der partei."
"- offen - ","Umfage","umfage"
"- offen - ","Wahl-o-Mat","wahl-o-mat"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","waabenknecht","waabenknecht"
"- offen - ","Nach der Partei, welche mich interessiert","nach der partei, welche mich interessiert"
"- offen - ","Die freien Wähler und die Gerechtigkeitspartei","die freien wähler und die gerechtigkeitspartei"
"- offen - ","Wie hoch ist der CO2 Gehalt in Deutschland","wie hoch ist der co2 gehalt in deutschland"
"- offen - ","Corona Dieselfahrzeuge","corona dieselfahrzeuge"
"- offen - ","Rente, Wohnungsbau, Gesundheitssystem","rente, wohnungsbau, gesundheitssystem"
"- offen - ","Wahlprogramm Kurzfassung","wahlprogramm kurzfassung"
"- offen - ","wahl o mat","wahl o mat"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","Klimawandel, Nachhaltigkeit, Ökölogie, Bioprodukte, Grüne","klimawandel, nachhaltigkeit, ökölogie, bioprodukte, grüne"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Bildung","bildung"
"- offen - ","Ergebnisse des Politbarometers","ergebnisse des politbarometers"
"- offen - ","AFD","afd"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","aktuelle politische themen","aktuelle politische themen"
"- offen - ","Baerbock schließt Regierungsbeteiligung der CDU kategorisch aus","baerbock schließt regierungsbeteiligung der cdu kategorisch aus"
"- offen - ","Biographie Olaf Scholz","biographie olaf scholz"
"- offen - ","Wahlprogramm der betreffenden Partei und evtl. Suche nach Aussagen konkreter Politiker auf Bundesebene.","wahlprogramm der betreffenden partei und evtl. suche nach aussagen konkreter politiker auf bundesebene."
"- offen - ","Wahlprogramme","wahlprogramme"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","Die Themen von den Parteien","die themen von den parteien"
"- offen - ","Klimaschutz, Humanität","klimaschutz, humanität"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","Welche Partei hat die besten Umweltziele?","welche partei hat die besten umweltziele?"
"- offen - ","Wofür eine Partei steht","wofür eine partei steht"
"- offen - ","Tierschutzparteien, Partei Wahlprogramm","tierschutzparteien, partei wahlprogramm"
"- offen - ","Partei Mitglieder Programm","partei mitglieder programm"
"- offen - ","Wahlprogramme gegenübetgestellt","wahlprogramme gegenübetgestellt"
"- offen - ","Kommt darauf an was ich wissen will","kommt darauf an was ich wissen will"
"- offen - ","Olaf Scholz, SPD Wahlprogramm, Politbarometer, Koalitionen, Soziale Gleichstellung, Renten","olaf scholz, spd wahlprogramm, politbarometer, koalitionen, soziale gleichstellung, renten"
"- offen - ","Energiewende Konzepte","energiewende konzepte"
"- offen - ","Kandidaten Bundestagswahl 2021","kandidaten"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Wahl o mat","wahl o mat"
"- offen - ","Laschet dumm","laschet dumm"
"Innere Sicherheit/Kriminalität","Partei Sicherheit und Gerechtigkeit","partei sicherheit und gerechtigkeit"
"Bildung","Die linke","die linke"
"Innere Sicherheit/Kriminalität","Innenpolitik Bundestagswahl 2021","innenpolitik"
"Soziale Sicherheit/Fürsorge/Rente","wahlversprechen der verschiedenen parteien","wahlversprechen der verschiedenen parteien"
"Gesundheit/Gesundheitssystem","Coronaregelung","coronaregelung"
"Gesundheit/Gesundheitssystem","Weg mit den Corona Maßnahmen","weg mit den corona maßnahmen"
"Soziale Sicherheit/Fürsorge/Rente","Soziale Absicherung","soziale absicherung"
"Digitalisierung","Standpunkte der Parteien zum Thema","standpunkte der parteien zum thema"
"Soziale Sicherheit/Fürsorge/Rente","Cdu","cdu"
"Umwelt/Klima/Verkehr","nach der entsprechenden Partei und was sie dazu schreib plus einer seriösen Zeitung ob man dort noch etwas dazu findet","nach der entsprechenden partei und was sie dazu schreib plus einer seriösen zeitung ob man dort noch etwas dazu findet"
"Wirtschaft/Finanzen","Online Banking","online banking"
"Internationale Beziehungen","Welche internationalen Regeln und Vereinbarungen gibt es zu bestimmte Themen der Internationalen Beziehung. Wie werden diese von Parteien (falls in der Regierung) umgesetzt oder was wollen sie erreichen.","welche internationalen regeln und vereinbarungen gibt es zu bestimmte themen der internationalen beziehung. wie werden diese von parteien (falls in der regierung) umgesetzt oder was wollen sie erreichen."
"Wirtschaft/Finanzen","Steuersenkungen","steuersenkungen"
"Umwelt/Klima/Verkehr","Die Grünen","die grünen"
"Soziale Sicherheit/Fürsorge/Rente","Afd","afd"
"Innere Sicherheit/Kriminalität","Kriminalstatistik","kriminalstatistik"
"Gesundheit/Gesundheitssystem","Gesund","gesund"
"Soziale Sicherheit/Fürsorge/Rente","Finanzielle Zuschüsse für Cochlea Implantat Träger","finanzielle zuschüsse für cochlea implantat träger"
"Soziale Sicherheit/Fürsorge/Rente","Welche Partei ist für eine bessere Sicherheit?","welche partei ist für eine bessere sicherheit?"
"Internationale Beziehungen","usa","usa"
"Internationale Beziehungen","Außenpolitik","außenpolitik"
"Arbeitsmarkt/Arbeitslosigkeit","800 euro job","800 euro job"
"Gesundheit/Gesundheitssystem","Corona","corona"
"Immigration/Einwanderung/Asyl","Zuwanderung","zuwanderung"
"Umwelt/Klima/Verkehr","Tempo 130","tempo 130"
"Gesundheit/Gesundheitssystem","AFD Walprogramm","afd walprogramm"
"Soziale Sicherheit/Fürsorge/Rente","Wahl Sozialpolitik","wahl sozialpolitik"
"Bildung","bessere schulsysteme","bessere schulsysteme"
"Umwelt/Klima/Verkehr","Wahlomat","wahlomat"
"Arbeitsmarkt/Arbeitslosigkeit","Arbeitsamt","arbeitsamt"
"Soziale Sicherheit/Fürsorge/Rente","Ziele der diversen Parteien","ziele der diversen parteien"
"Wirtschaft/Finanzen","parteiprogramme der einzelnen partein","parteiprogramme der einzelnen partein"
"Gesundheit/Gesundheitssystem","Inzidenz","inzidenz"
"Gesundheit/Gesundheitssystem","Kassenlage der Krankenkassen","kassenlage der krankenkassen"
"Wirtschaft/Finanzen","Sicherheit","sicherheit"
"Immigration/Einwanderung/Asyl","Migration","migration"
"Umwelt/Klima/Verkehr","programme der parteien","programme der parteien"
"Umwelt/Klima/Verkehr","Wahlprogramm","wahlprogramm"
"Soziale Sicherheit/Fürsorge/Rente","Altersvorsorge Bundestagswahl 2021 welche Partei setzt sich ein","altersvorsorge  welche partei setzt sich ein"
"Arbeitsmarkt/Arbeitslosigkeit","Arbeismarktpolitik / Grundeinkommen / Hartz 4","arbeismarktpolitik / grundeinkommen / hartz 4"
"Innere Sicherheit/Kriminalität","Sicherheit","sicherheit"
"Bildung","Bpb","bpb"
"Gesundheit/Gesundheitssystem","Krankheit","krankheit"
"Gesundheit/Gesundheitssystem","corona - wie lange noch","corona - wie lange noch"
"Wirtschaft/Finanzen","Finanzplan, Coronaprogramm","finanzplan, coronaprogramm"
"Immigration/Einwanderung/Asyl","Afd","afd"
"Steuern","Wahlversprechen","wahlversprechen"
"Innere Sicherheit/Kriminalität","Afd","afd"
"Umwelt/Klima/Verkehr","Agora Energiewende","agora energiewende"
"Immigration/Einwanderung/Asyl","Gesteuerte zuwanderung","gesteuerte zuwanderung"
"Steuern","Wichtiger Thema","wichtiger thema"
"Umwelt/Klima/Verkehr","Wer welche Strategie hat","wer welche strategie hat"
"Immigration/Einwanderung/Asyl","Migrationspolitik Partei XY","migrationspolitik partei xy"
"Immigration/Einwanderung/Asyl","Zuwanderung Standpunkt Partei","zuwanderung standpunkt partei"
"Gesundheit/Gesundheitssystem","Wahlprogramm","wahlprogramm"
"Immigration/Einwanderung/Asyl","Islamisierung, Terror,","islamisierung, terror,"
"Wirtschaft/Finanzen","Die Grünen Schuldenabbau nach der Wahl","die grünen schuldenabbau nach der wahl"
"Soziale Sicherheit/Fürsorge/Rente","Miete Steigerung","miete steigerung"
"Gesundheit/Gesundheitssystem","Soziale Netzwerke","soziale netzwerke"
"Innere Sicherheit/Kriminalität","CDU","cdu"
"Umwelt/Klima/Verkehr","Wahl","wahl"
"Umwelt/Klima/Verkehr","co2 ausstoß, e autos,kliemaerwärmung weltweit","co2 ausstoß, e autos,kliemaerwärmung weltweit"
"Gesundheit/Gesundheitssystem","CDU","cdu"
"Gesundheit/Gesundheitssystem","Corona","corona"
"Arbeitsmarkt/Arbeitslosigkeit","wahl 2021 arbeitsrecht","arbeitsrecht"
"Umwelt/Klima/Verkehr","Wahlprogramme der Parteien.","wahlprogramme der parteien."
"Innere Sicherheit/Kriminalität","Sicherheit","sicherheit"
"Innere Sicherheit/Kriminalität","Zu den Themen gehören die wir auch in den letzten Tagen von uns hören lassen wollten oder M haben diesen","zu den themen gehören die wir auch in den letzten tagen von uns hören lassen wollten oder m haben diesen"
"Immigration/Einwanderung/Asyl","Parteiprogramme btw 2021","parteiprogramme btw 2021"
"Soziale Sicherheit/Fürsorge/Rente","Wahlprogramme der Parteien","wahlprogramme der parteien"
"Gesundheit/Gesundheitssystem","Barmer","barmer"
"Internationale Beziehungen","Beziehung","beziehung"
"Soziale Sicherheit/Fürsorge/Rente","linke partei","linke partei"
"Soziale Sicherheit/Fürsorge/Rente","Hartz 4 erhöhen","hartz 4 erhöhen"
"Steuern","Umsatztateuwrn","umsatztateuwrn"
"Wirtschaft/Finanzen","Wahlprogramm","wahlprogramm"
"Immigration/Einwanderung/Asyl","Flüchtlinge","flüchtlinge"
"Steuern","Steuerprogramme der Parteien","steuerprogramme der parteien"
"Soziale Sicherheit/Fürsorge/Rente","Parteiprogramm soziales + Partei","parteiprogramm soziales + partei"
"Gesundheit/Gesundheitssystem","Walomart","walomart"
"Immigration/Einwanderung/Asyl","flüchtlinge","flüchtlinge"
"Umwelt/Klima/Verkehr","Vorallem Tierschutz. Informationen zu einigen Politikern bei YouTube *wegen der Wahlen)","vorallem tierschutz. informationen zu einigen politikern bei youtube *wegen der wahlen)"
"Internationale Beziehungen","Länder","länder"
"Umwelt/Klima/Verkehr","Greenpeace","greenpeace"
"Umwelt/Klima/Verkehr","Programm","programm"
"Wirtschaft/Finanzen","Konjunktur","konjunktur"
"Wirtschaft/Finanzen","Statista, Webseiten der Ministerien, Presseartikel national und international, Kurse von Aktien, Fonds usw.,","statista, webseiten der ministerien, presseartikel national und international, kurse von aktien, fonds usw.,"
"Gesundheit/Gesundheitssystem","Pflege und Löhne","pflege und löhne"
"Immigration/Einwanderung/Asyl","AFD","afd"
"Internationale Beziehungen","afd","afd"
"Wirtschaft/Finanzen","direkte frage an google","direkte frage an google"
"Immigration/Einwanderung/Asyl","Wieviele Einwanderer pro Monat","wieviele einwanderer pro monat"
"Innere Sicherheit/Kriminalität","Sicherheit","sicherheit"
"Umwelt/Klima/Verkehr","Grüne Erde","grüne erde"
"Steuern","Steuersätze Deutschland","steuersätze deutschland"
"Soziale Sicherheit/Fürsorge/Rente","Sozialministerium bei Google","sozialministerium bei google"
"Umwelt/Klima/Verkehr","Hochwasser 2021","hochwasser 2021"
"Digitalisierung","schulen","schulen"
"Bildung","Parteiprogram","parteiprogram"
"Soziale Sicherheit/Fürsorge/Rente","Wahlprogramme","wahlprogramme"
"Immigration/Einwanderung/Asyl","Parteivergleich","parteivergleich"
"Umwelt/Klima/Verkehr","Wer ist fuer Tempolimit","wer ist fuer tempolimit"
"Internationale Beziehungen","Außenpolitik Wahlprogramm Vergleich","außenpolitik wahlprogramm vergleich"
"Internationale Beziehungen","Situation *Land*","situation *land*"
"Innere Sicherheit/Kriminalität","Kriminalstatistik, Polizeibericht, Todesopfer durch Migration, Anteil der Migranten in Bezug zu ihrem tatsächlichen Anteil an der Gesamtbevölkerung","kriminalstatistik, polizeibericht, todesopfer durch migration, anteil der migranten in bezug zu ihrem tatsächlichen anteil an der gesamtbevölkerung"
"Soziale Sicherheit/Fürsorge/Rente","Bfa, Die Linke, Stadtwerke","bfa, die linke, stadtwerke"
"Immigration/Einwanderung/Asyl","ausländeranteil","ausländeranteil"
"Innere Sicherheit/Kriminalität","Innenministerium","innenministerium"
"Immigration/Einwanderung/Asyl","zuwanderung deutschland","zuwanderung deutschland"
"Wirtschaft/Finanzen","Finanzsystem Deutschland","finanzsystem deutschland"
"Soziale Sicherheit/Fürsorge/Rente","Zinsen auf Festgeld","zinsen auf festgeld"
"Bildung","Parteitprogramm einzelner Parteien","parteitprogramm einzelner parteien"
